  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:01 /sbin/init splash
    2 ?        S      0:00 [kthreadd]
    4 ?        S<     0:00 [kworker/0:0H]
    6 ?        S      0:00 [ksoftirqd/0]
    7 ?        S      0:02 [rcu_sched]
    8 ?        S      0:00 [rcu_bh]
    9 ?        S      0:00 [migration/0]
   10 ?        S<     0:00 [lru-add-drain]
   11 ?        S      0:00 [watchdog/0]
   12 ?        S      0:00 [cpuhp/0]
   13 ?        S      0:00 [cpuhp/1]
   14 ?        S      0:00 [watchdog/1]
   15 ?        S      0:00 [migration/1]
   16 ?        S      0:00 [ksoftirqd/1]
   18 ?        S<     0:00 [kworker/1:0H]
   19 ?        S      0:00 [cpuhp/2]
   20 ?        S      0:00 [watchdog/2]
   21 ?        S      0:00 [migration/2]
   22 ?        S      0:00 [ksoftirqd/2]
   24 ?        S<     0:00 [kworker/2:0H]
   25 ?        S      0:00 [cpuhp/3]
   26 ?        S      0:00 [watchdog/3]
   27 ?        S      0:00 [migration/3]
   28 ?        S      0:00 [ksoftirqd/3]
   30 ?        S<     0:00 [kworker/3:0H]
   31 ?        S      0:00 [kdevtmpfs]
   32 ?        S<     0:00 [netns]
   33 ?        S      0:00 [khungtaskd]
   34 ?        S      0:00 [oom_reaper]
   35 ?        S<     0:00 [writeback]
   36 ?        S      0:00 [kcompactd0]
   37 ?        SN     0:00 [ksmd]
   38 ?        SN     0:00 [khugepaged]
   39 ?        S<     0:00 [crypto]
   40 ?        S<     0:00 [kintegrityd]
   41 ?        S<     0:00 [bioset]
   42 ?        S<     0:00 [kblockd]
   43 ?        S<     0:00 [ata_sff]
   44 ?        S<     0:00 [md]
   45 ?        S<     0:00 [devfreq_wq]
   46 ?        S<     0:00 [watchdogd]
   52 ?        S      0:00 [kauditd]
   53 ?        S      0:00 [kswapd0]
   54 ?        S<     0:00 [vmstat]
   55 ?        S<     0:00 [bioset]
   56 ?        S      0:00 [ecryptfs-kthrea]
   96 ?        S<     0:00 [kthrotld]
   97 ?        S<     0:00 [acpi_thermal_pm]
   98 ?        S<     0:00 [bioset]
   99 ?        S<     0:00 [bioset]
  100 ?        S<     0:00 [bioset]
  101 ?        S<     0:00 [bioset]
  102 ?        S<     0:00 [bioset]
  103 ?        S<     0:00 [bioset]
  104 ?        S<     0:00 [bioset]
  105 ?        S<     0:00 [bioset]
  106 ?        S      0:00 [scsi_eh_0]
  107 ?        S<     0:00 [scsi_tmf_0]
  108 ?        S      0:00 [scsi_eh_1]
  109 ?        S<     0:00 [scsi_tmf_1]
  111 ?        S      0:00 [scsi_eh_2]
  112 ?        S<     0:00 [scsi_tmf_2]
  113 ?        S      0:00 [scsi_eh_3]
  114 ?        S<     0:00 [scsi_tmf_3]
  122 ?        S<     0:00 [ipv6_addrconf]
  143 ?        S<     0:00 [charger_manager]
  151 ?        S<     0:00 [bioset]
  152 ?        S<     0:00 [bioset]
  153 ?        S<     0:00 [bioset]
  154 ?        S<     0:00 [kworker/1:1H]
  155 ?        S<     0:00 [kworker/0:1H]
  156 ?        S<     0:00 [kworker/3:1H]
  205 ?        S<     0:00 [bioset]
  206 ?        S<     0:00 [bioset]
  207 ?        S<     0:00 [bioset]
  208 ?        S<     0:00 [bioset]
  210 ?        S<     0:00 [bioset]
  211 ?        S<     0:00 [bioset]
  213 ?        S<     0:00 [bioset]
  214 ?        S<     0:00 [bioset]
  217 ?        S      0:00 [scsi_eh_4]
  218 ?        S<     0:00 [scsi_tmf_4]
  219 ?        S      0:00 [scsi_eh_5]
  220 ?        S<     0:00 [scsi_tmf_5]
  224 ?        S<     0:00 [firewire]
  225 ?        S      0:00 [scsi_eh_6]
  226 ?        S<     0:00 [scsi_tmf_6]
  227 ?        S      0:00 [scsi_eh_7]
  228 ?        S<     0:00 [scsi_tmf_7]
  229 ?        S<     0:00 [firewire_ohci]
  233 ?        S<     0:00 [kworker/2:1H]
  238 ?        S      0:00 [scsi_eh_8]
  239 ?        S<     0:00 [scsi_tmf_8]
  240 ?        S      0:00 [usb-storage]
  246 ?        S<     0:00 [bioset]
